symbol,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC270115P00041000,9.74,18,U,6.8,17,A, ,2025-11-19T19:00:27.015941676Z,2027-01-15,41000,7.4,7.4,7.4,1.0,7.4,2025-11-14T05:00:00Z,3.0,7.4,g,7.4,3.0,2025-11-14T20:39:49.167187908Z,C,7.4,7.4,7.4,1.0,7.4,2025-11-14T20:39:00Z,3.0,7.4,6.8,6.8,6.8,1.0,6.8,2025-11-12T05:00:00Z,5.0,6.8,0.4965,-0.3938,0.0183,-0.2752,-0.0073,0.1632
BTC270115C00047000,9.39,24,A,5.02,16,A,A,2025-11-19T19:00:27.101885638Z,2027-01-15,47000,9.1,9.1,9.1,1.0,9.1,2025-11-14T05:00:00Z,2.0,9.1,f,9.1,2.0,2025-11-14T16:01:49.038681386Z,M,9.1,9.1,9.1,1.0,9.1,2025-11-14T16:01:00Z,2.0,9.1,10.3,10.3,10.3,1.0,10.3,2025-11-04T05:00:00Z,1.0,10.3,0.5487,0.5262,0.0171,0.1566,-0.0123,0.1688
BTC260618P00048000,13.1,386,A,9.86,338,X,A,2025-11-19T19:03:41.609615065Z,2026-06-18,48000,9.32,9.32,9.32,1.0,9.32,2025-11-14T05:00:00Z,5.0,9.32,g,9.32,5.0,2025-11-14T19:06:10.698141855Z,C,9.32,9.32,9.32,1.0,9.32,2025-11-14T19:06:00Z,5.0,9.32,7.76,7.76,7.76,1.0,7.76,2025-11-12T05:00:00Z,1.0,7.76,0.5455,-0.5849,0.0238,-0.1997,-0.0116,0.1169
BTC251121P00046000,6.98,125,X,6.08,78,A, ,2025-11-19T19:03:32.129627363Z,2025-11-21,46000,6.7,6.7,5.67,5.0,5.67,2025-11-19T05:00:00Z,13.0,6.357692,I,6.7,5.0,2025-11-19T18:28:27.511617563Z,C,6.7,6.7,6.7,1.0,6.7,2025-11-19T18:28:00Z,5.0,6.7,4.8,5.38,4.8,3.0,5.38,2025-11-18T05:00:00Z,9.0,5.082222,,,,,,
BTC260116C00056000,0.73,274,A,0.0,0,?,A,2025-11-19T19:03:01.344676826Z,2026-01-16,56000,0.5,0.7,0.4,3.0,0.4,2025-11-18T05:00:00Z,11.0,0.581818,f,0.5,5.0,2025-11-18T18:29:02.518903821Z,M,0.5,0.5,0.5,1.0,0.5,2025-11-18T18:29:00Z,5.0,0.5,0.25,0.25,0.25,1.0,0.25,2025-11-17T05:00:00Z,4.0,0.25,,,,,,
BTC270115C00063000,6.6,24,S,1.68,11,E,A,2025-11-19T19:03:35.3957363Z,2027-01-15,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5677,0.3459,0.0153,0.1099,-0.0114,0.1564
BTC260116P00069000,30.34,16,X,27.39,20,Z, ,2025-11-19T19:02:06.046419581Z,2026-01-16,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00043000,11.56,13,E,7.56,15,U,A,2025-11-19T19:03:28.290382231Z,2027-01-15,43000,7.57,7.57,7.57,1.0,7.57,2025-11-05T05:00:00Z,3.0,7.57,a,7.57,3.0,2025-11-05T17:31:16.450385594Z,I,7.57,7.57,7.57,1.0,7.57,2025-11-05T17:31:00Z,3.0,7.57,,,,,,,,,0.5023,-0.4269,0.0184,-0.3052,-0.0074,0.1663
BTC251121C00047000,0.03,4,Q,0.0,0,?,A,2025-11-19T18:59:55.509016719Z,2025-11-21,47000,0.05,0.05,0.05,3.0,0.05,2025-11-19T05:00:00Z,4.0,0.05,I,0.03,1.0,2025-11-19T16:57:37.510454296Z,Q,0.05,0.05,0.05,1.0,0.05,2025-11-19T16:57:00Z,1.0,0.05,0.02,0.05,0.02,2.0,0.05,2025-11-18T05:00:00Z,8.0,0.03875,,,,,,
BTC270115P00055000,20.15,13,E,15.97,14,A, ,2025-11-19T19:00:27.012923967Z,2027-01-15,55000,14.0,14.0,14.0,1.0,14.0,2025-10-14T04:00:00Z,2.0,14.0,I,14.0,2.0,2025-10-14T13:30:16.95140531Z,A,14.0,14.0,14.0,1.0,14.0,2025-10-14T13:30:00Z,2.0,14.0,11.7,11.7,11.7,1.0,11.7,2025-10-08T04:00:00Z,1.0,11.7,0.5133,-0.6002,0.0177,-0.4825,-0.006,0.1638
BTC251219P00028000,0.77,280,A,0.0,0,?, ,2025-11-19T19:00:27.012618209Z,2025-12-19,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320P00068000,29.69,21,E,26.55,20,B,A,2025-11-19T19:02:10.411566141Z,2026-03-20,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5848,-0.921,0.0111,-0.2136,-0.0013,0.0334
BTC270115C00053000,7.62,35,A,3.56,24,A,A,2025-11-19T19:03:31.92460871Z,2027-01-15,53000,6.2,6.2,6.2,1.0,6.2,2025-11-17T05:00:00Z,2.0,6.2,I,6.2,2.0,2025-11-17T18:02:11.019207416Z,I,6.2,6.2,6.2,1.0,6.2,2025-11-17T18:02:00Z,2.0,6.2,8.79,8.79,8.79,1.0,8.79,2025-11-05T05:00:00Z,1.0,8.79,0.5436,0.4424,0.0171,0.1371,-0.0119,0.1674
BTC260320C00048000,2.63,246,A,2.02,23,U,A,2025-11-19T19:03:18.786607753Z,2026-03-20,48000,2.43,2.5,2.2,9.0,2.5,2025-11-19T05:00:00Z,57.0,2.392281,f,2.43,2.0,2025-11-19T16:34:16.555808759Z,I,2.43,2.43,2.43,1.0,2.43,2025-11-19T16:34:00Z,2.0,2.43,2.57,2.57,2.57,1.0,2.57,2025-11-17T05:00:00Z,2.0,2.57,0.5447,0.334,0.0294,0.036,-0.0197,0.0826
BTC270115C00065000,4.47,20,M,3.42,17,E,A,2025-11-19T19:03:37.378667483Z,2027-01-15,65000,3.88,3.88,3.88,1.0,3.88,2025-11-19T05:00:00Z,10.0,3.88,I,3.88,10.0,2025-11-19T15:53:29.237296042Z,Z,3.88,3.88,3.88,1.0,3.88,2025-11-19T15:53:00Z,10.0,3.88,4.7,4.7,4.7,1.0,4.7,2025-11-17T05:00:00Z,1.0,4.7,0.5739,0.3314,0.0149,0.1055,-0.0113,0.1538
BTC251121C00065000,0.47,470,A,0.0,0,?,A,2025-11-19T19:02:00.366052457Z,2025-11-21,65000,0.28,0.42,0.25,5.0,0.27,2025-10-21T04:00:00Z,8.0,0.30125,a,0.28,4.0,2025-10-21T18:32:01.216032851Z,M,0.28,0.28,0.28,1.0,0.28,2025-10-21T18:32:00Z,4.0,0.28,0.25,0.25,0.25,1.0,0.25,2025-10-16T04:00:00Z,5.0,0.25,,,,,,
BTC260116P00063000,24.01,20,B,22.02,14,Z,A,2025-11-19T19:02:50.186244574Z,2026-01-16,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618C00054000,3.45,505,A,1.18,634,X,A,2025-11-19T19:03:06.966126014Z,2026-06-18,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5136,0.2897,0.0222,0.0527,-0.0134,0.1026
BTC251219P00069000,29.91,15,Z,27.88,20,B,A,2025-11-19T19:03:49.039889441Z,2025-12-19,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320C00042000,4.38,251,A,2.68,728,X,A,2025-11-19T19:03:52.74241107Z,2026-03-20,42000,4.4,4.5,4.4,2.0,4.5,2025-11-19T05:00:00Z,11.0,4.409091,I,4.38,10.0,2025-11-19T18:00:49.122093605Z,I,4.4,4.4,4.4,1.0,4.4,2025-11-19T18:00:00Z,10.0,4.4,4.5,4.5,4.5,1.0,4.5,2025-11-18T05:00:00Z,5.0,4.5,0.4829,0.4834,0.0363,0.0515,-0.0197,0.0905
BTC280121C00060000,10.83,17,S,6.54,27,E,A,2025-11-19T19:03:19.558000321Z,2028-01-21,60000,9.0,9.0,9.0,1.0,9.0,2025-11-18T05:00:00Z,10.0,9.0,I,9.0,10.0,2025-11-18T15:01:55.866609776Z,U,9.0,9.0,9.0,1.0,9.0,2025-11-18T15:01:00Z,10.0,9.0,10.01,10.01,10.01,1.0,10.01,2025-11-14T05:00:00Z,1.0,10.01,0.577,0.5063,0.0119,0.2451,-0.0095,0.2319
BTC260116C00061000,0.52,13,M,0.13,19,U, ,2025-11-19T19:01:42.759626516Z,2026-01-16,61000,0.15,0.15,0.15,1.0,0.15,2025-11-19T05:00:00Z,5.0,0.15,I,0.15,5.0,2025-11-19T14:49:37.005168862Z,U,0.15,0.15,0.15,1.0,0.15,2025-11-19T14:49:00Z,5.0,0.15,0.57,0.57,0.57,2.0,0.57,2025-11-12T05:00:00Z,91.0,0.57,0.684,0.0749,0.0131,0.0042,-0.0134,0.0222
BTC270115C00067000,5.93,23,A,1.18,11,E,A,2025-11-19T19:03:51.424232516Z,2027-01-15,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5659,0.3083,0.0147,0.0995,-0.0108,0.1493
BTC251121P00058000,18.79,21,X,16.92,41,C, ,2025-11-19T19:03:43.488153307Z,2025-11-21,58000,12.2,12.2,12.2,1.0,12.2,2025-11-04T05:00:00Z,4.0,12.2,f,12.2,4.0,2025-11-04T15:37:29.616536999Z,I,12.2,12.2,12.2,1.0,12.2,2025-11-04T15:37:00Z,4.0,12.2,7.3,7.3,7.3,1.0,7.3,2025-10-10T04:00:00Z,1.0,7.3,,,,,,
BTC260618P00055000,17.21,71,C,14.75,45,C,A,2025-11-19T19:03:25.529362992Z,2026-06-18,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4551,-0.7661,0.0225,-0.267,-0.0052,0.0919
BTC251219P00055000,16.87,17,Z,13.58,21,E,A,2025-11-19T19:03:52.316533589Z,2025-12-19,55000,12.23,12.23,12.23,1.0,12.23,2025-11-14T05:00:00Z,1.0,12.23,k,12.23,1.0,2025-11-14T15:38:09.857719843Z,M,12.23,12.23,12.23,1.0,12.23,2025-11-14T15:38:00Z,1.0,12.23,6.43,6.43,6.43,1.0,6.43,2025-10-29T04:00:00Z,1.0,6.43,,,,,,
BTC270115P00075000,38.5,12,E,34.15,13,E,A,2025-11-19T19:03:25.481467964Z,2027-01-15,75000,27.25,27.25,27.25,1.0,27.25,2025-08-01T04:00:00Z,5.0,27.25,f,27.25,5.0,2025-08-01T16:10:29.502479723Z,M,27.25,27.25,27.25,1.0,27.25,2025-08-01T16:10:00Z,5.0,27.25,25.55,25.55,25.55,2.0,25.55,2025-07-28T04:00:00Z,5.0,25.55,0.6398,-0.7026,0.0128,-0.7404,-0.005,0.1469
BTC251121P00063000,24.2,58,X,21.76,38,A, ,2025-11-19T19:00:27.017133711Z,2025-11-21,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251219C00058000,0.77,513,A,0.0,0,?,A,2025-11-19T19:01:44.209978296Z,2025-12-19,58000,0.12,0.12,0.12,1.0,0.12,2025-11-14T05:00:00Z,1.0,0.12,a,0.12,1.0,2025-11-14T19:11:46.365368882Z,X,0.12,0.12,0.12,1.0,0.12,2025-11-14T19:11:00Z,1.0,0.12,0.3,0.3,0.3,1.0,0.3,2025-11-11T05:00:00Z,1.0,0.3,,,,,,
BTC280121C00055000,11.85,15,B,7.01,11,E,A,2025-11-19T19:03:34.980962727Z,2028-01-21,55000,13.6,13.6,13.6,1.0,13.6,2025-11-10T05:00:00Z,1.0,13.6,a,13.6,1.0,2025-11-10T20:46:23.733356984Z,X,13.6,13.6,13.6,1.0,13.6,2025-11-10T20:46:00Z,1.0,13.6,12.0,12.0,12.0,1.0,12.0,2025-11-04T05:00:00Z,1.0,12.0,0.5655,0.5412,0.0121,0.2589,-0.0093,0.2307
BTC260116P00049000,10.27,25,M,8.64,51,C,A,2025-11-19T19:03:52.677024845Z,2026-01-16,49000,8.53,8.59,8.53,2.0,8.59,2025-11-18T05:00:00Z,2.0,8.56,f,8.53,1.0,2025-11-18T18:03:58.524181861Z,N,8.53,8.59,8.53,2.0,8.59,2025-11-18T18:03:00Z,2.0,8.56,7.18,7.18,7.18,1.0,7.18,2025-11-14T05:00:00Z,1.0,7.18,0.3602,-0.9188,0.0266,-0.0726,-0.0025,0.0236
BTC251219P00036000,1.18,19,U,0.97,22,X, ,2025-11-19T19:02:05.739389446Z,2025-12-19,36000,1.15,1.2,0.67,11.0,1.0,2025-11-19T05:00:00Z,129.0,1.084496,a,1.15,33.0,2025-11-19T17:36:12.398652033Z,A,1.15,1.2,1.15,6.0,1.2,2025-11-19T17:36:00Z,100.0,1.166,0.9,0.9,0.9,1.0,0.9,2025-11-18T05:00:00Z,1.0,0.9,0.5708,-0.2548,0.0497,-0.0091,-0.0333,0.0363
BTC270115C00061000,6.05,14,E,3.13,13,E,A,2025-11-19T19:03:41.938479761Z,2027-01-15,61000,11.03,11.03,11.03,2.0,11.03,2025-10-03T04:00:00Z,2.0,11.03,a,11.03,1.0,2025-10-03T19:32:19.443593652Z,M,11.03,11.03,11.03,2.0,11.03,2025-10-03T19:32:00Z,2.0,11.03,,,,,,,,,0.5762,0.371,0.0155,0.1161,-0.0119,0.1603
BTC251219C00034000,6.52,20,U,5.99,267,X,A,2025-11-19T19:02:05.740005017Z,2025-12-19,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6186,0.8274,0.0365,0.0217,-0.0326,0.0289
BTC260618C00056000,3.26,534,A,1.78,215,A,A,2025-11-19T19:03:51.624092313Z,2026-06-18,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5656,0.2911,0.0202,0.0518,-0.0147,0.1028
BTC260116C00057000,0.77,152,A,0.0,0,?, ,2025-11-19T19:00:27.01332025Z,2026-01-16,57000,0.88,0.88,0.88,1.0,0.88,2025-11-11T05:00:00Z,3.0,0.88,a,0.88,3.0,2025-11-11T17:35:41.324368322Z,X,0.88,0.88,0.88,1.0,0.88,2025-11-11T17:35:00Z,3.0,0.88,1.45,1.45,1.45,1.0,1.45,2025-10-30T04:00:00Z,165.0,1.45,,,,,,
BTC251121C00038000,3.14,711,X,1.47,172,E,A,2025-11-19T19:03:37.441327225Z,2025-11-21,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2851,0.6704,0.0965,0.0013,-0.3422,0.0106
BTC251219P00072000,32.88,13,Z,30.95,20,B, ,2025-11-19T19:00:05.195797079Z,2025-12-19,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116P00040000,4.04,239,A,3.06,210,A,A,2025-11-19T19:03:50.230622208Z,2026-01-16,40000,3.65,3.65,3.2,2.0,3.2,2025-11-19T05:00:00Z,11.0,3.240909,f,3.65,1.0,2025-11-19T17:02:30.661974986Z,W,3.65,3.65,3.65,1.0,3.65,2025-11-19T17:02:00Z,1.0,3.65,2.6,3.2,2.55,16.0,3.0,2025-11-18T05:00:00Z,69.0,2.765942,0.5396,-0.4718,0.0469,-0.0352,-0.0267,0.0626
BTC280121P00042000,14.67,4,A,10.03,14,S,A,2025-11-19T19:03:32.62188548Z,2028-01-21,42000,10.2,10.2,10.2,1.0,10.2,2025-10-17T04:00:00Z,1.0,10.2,I,10.2,1.0,2025-10-17T14:21:48.381538414Z,P,10.2,10.2,10.2,1.0,10.2,2025-10-17T14:21:00Z,1.0,10.2,8.2,8.2,8.2,1.0,8.2,2025-10-14T04:00:00Z,1.0,8.2,0.5572,-0.3369,0.0113,-0.557,-0.0052,0.2123
BTC251219C00069000,0.73,296,A,0.0,0,?,A,2025-11-19T19:00:41.047868206Z,2025-12-19,69000,0.2,0.2,0.2,1.0,0.2,2025-11-03T05:00:00Z,1.0,0.2,I,0.2,1.0,2025-11-03T16:00:44.248273262Z,C,0.2,0.2,0.2,1.0,0.2,2025-11-03T16:00:00Z,1.0,0.2,1.15,1.15,1.15,1.0,1.15,2025-10-09T04:00:00Z,1.0,1.15,,,,,,
BTC270115P00045000,12.18,15,U,9.2,20,A, ,2025-11-19T19:00:27.012923967Z,2027-01-15,45000,8.08,8.08,8.08,1.0,8.08,2025-11-03T05:00:00Z,1.0,8.08,a,8.08,1.0,2025-11-03T14:47:45.359363414Z,X,8.08,8.08,8.08,1.0,8.08,2025-11-03T14:47:00Z,1.0,8.08,9.0,9.0,9.0,1.0,9.0,2025-10-16T04:00:00Z,1.0,9.0,0.4947,-0.4628,0.0189,-0.3346,-0.0071,0.1684
BTC251219P00020000,0.57,265,A,0.0,0,?,A,2025-11-19T19:00:27.013966162Z,2025-12-19,20000,0.05,0.05,0.05,1.0,0.05,2025-09-23T04:00:00Z,1.0,0.05,I,0.05,1.0,2025-09-23T13:33:19.41161011Z,I,0.05,0.05,0.05,1.0,0.05,2025-09-23T13:33:00Z,1.0,0.05,0.07,0.07,0.07,1.0,0.07,2025-09-22T04:00:00Z,1.0,0.07,,,,,,
BTC260320C00030000,13.27,595,X,10.89,214,A,A,2025-11-19T19:03:44.475969718Z,2026-03-20,30000,13.0,13.0,13.0,1.0,13.0,2025-11-18T05:00:00Z,1.0,13.0,a,13.0,1.0,2025-11-18T18:13:26.31606708Z,J,13.0,13.0,13.0,1.0,13.0,2025-11-18T18:13:00Z,1.0,13.0,22.1,22.1,22.1,1.0,22.1,2025-10-13T04:00:00Z,1.0,22.1,0.7575,0.8091,0.0158,0.0657,-0.0214,0.0618
BTC260116P00025000,0.72,498,A,0.07,23,U,A,2025-11-19T19:02:05.740345098Z,2026-01-16,25000,0.05,0.05,0.05,1.0,0.05,2025-11-19T05:00:00Z,1.0,0.05,I,0.05,1.0,2025-11-19T16:12:50.448840043Z,D,0.05,0.05,0.05,1.0,0.05,2025-11-19T16:12:00Z,1.0,0.05,0.2,0.2,0.2,1.0,0.2,2025-11-18T05:00:00Z,1.0,0.2,0.8386,-0.0606,0.0091,-0.0044,-0.0134,0.0189
BTC260618P00035000,4.07,19,U,3.24,195,A,A,2025-11-19T19:03:05.719331085Z,2026-06-18,35000,3.6,3.6,3.5,3.0,3.5,2025-11-19T05:00:00Z,5.0,3.54,I,3.6,2.0,2025-11-19T15:53:39.995725026Z,I,3.6,3.6,3.5,2.0,3.5,2025-11-19T15:53:00Z,3.0,3.566667,3.3,3.3,3.26,4.0,3.26,2025-11-18T05:00:00Z,6.0,3.28,0.5312,-0.2909,0.0215,-0.0874,-0.0114,0.1028
BTC251121C00044000,0.13,15,E,0.0,0,?,A,2025-11-19T19:01:42.746391603Z,2025-11-21,44000,0.04,0.05,0.04,2.0,0.05,2025-11-19T05:00:00Z,33.0,0.049091,a,0.04,3.0,2025-11-19T15:54:10.074297788Z,J,0.04,0.04,0.04,1.0,0.04,2025-11-19T15:54:00Z,3.0,0.04,0.05,0.05,0.05,1.0,0.05,2025-11-18T05:00:00Z,3.0,0.05,,,,,,
BTC260116C00074000,0.73,301,A,0.0,0,?,A,2025-11-19T19:00:46.347972025Z,2026-01-16,74000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320C00055000,1.62,237,A,0.88,23,U,A,2025-11-19T19:03:41.861441106Z,2026-03-20,55000,1.3,1.65,1.3,9.0,1.65,2025-11-19T05:00:00Z,100.0,1.5065,a,1.3,41.0,2025-11-19T14:37:44.725358948Z,X,1.3,1.65,1.3,9.0,1.65,2025-11-19T14:37:00Z,100.0,1.5065,2.0,2.2,2.0,4.0,2.2,2025-11-13T05:00:00Z,4.0,2.1375,0.5597,0.2029,0.0222,0.0224,-0.0155,0.0641
BTC251219C00035000,6.92,745,X,5.22,23,U, ,2025-11-19T19:03:48.586097934Z,2025-12-19,35000,18.8,18.8,18.8,1.0,18.8,2025-07-18T04:00:00Z,5.0,18.8,a,18.67,5.0,2025-07-18T15:10:29.096368059Z,X,18.8,18.8,18.8,1.0,18.8,2025-07-18T15:10:00Z,5.0,18.8,19.7,20.2,19.7,2.0,20.2,2025-07-14T04:00:00Z,9.0,19.866667,0.7805,0.7454,0.0364,0.0192,-0.0497,0.0363
BTC270115P00033000,5.68,11,M,2.57,12,E,A,2025-11-19T19:03:52.910744834Z,2027-01-15,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4895,-0.2489,0.0153,-0.1612,-0.0065,0.1344
BTC251121P00055000,16.129,26,C,13.96,51,B, ,2025-11-19T19:03:43.488038729Z,2025-11-21,55000,8.75,8.75,8.75,1.0,8.75,2025-11-11T05:00:00Z,1.0,8.75,g,8.75,1.0,2025-11-11T15:15:08.54299221Z,C,8.75,8.75,8.75,1.0,8.75,2025-11-11T15:15:00Z,1.0,8.75,6.65,6.65,6.65,1.0,6.65,2025-10-31T04:00:00Z,10.0,6.65,,,,,,
BTC251219C00043000,1.22,15,U,1.02,12,E, ,2025-11-19T19:00:27.013179195Z,2025-12-19,43000,1.15,1.15,1.15,1.0,1.15,2025-11-19T05:00:00Z,2.0,1.15,I,1.15,2.0,2025-11-19T17:38:44.364066306Z,Z,1.15,1.15,1.15,1.0,1.15,2025-11-19T17:38:00Z,2.0,1.15,1.73,1.75,1.72,5.0,1.72,2025-11-18T05:00:00Z,6.0,1.741667,0.5238,0.316,0.0601,0.0093,-0.0363,0.0402
BTC251121C00056000,0.77,375,X,0.0,0,?, ,2025-11-19T19:01:42.772010715Z,2025-11-21,56000,0.02,0.02,0.02,1.0,0.02,2025-11-17T05:00:00Z,8.0,0.02,a,0.02,8.0,2025-11-17T20:03:36.027364382Z,X,0.02,0.02,0.02,1.0,0.02,2025-11-17T20:03:00Z,8.0,0.02,0.19,0.35,0.15,3.0,0.35,2025-11-03T05:00:00Z,3.0,0.23,,,,,,
BTC260618P00052000,14.74,184,A,12.65,58,E,A,2025-11-19T19:03:29.426237134Z,2026-06-18,52000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4724,-0.702,0.0245,-0.2392,-0.0074,0.1039
BTC270115C00040000,10.0,12,E,9.13,12,E,A,2025-11-19T19:03:49.985518101Z,2027-01-15,40000,9.87,9.87,8.3,4.0,8.3,2025-11-19T05:00:00Z,100.0,9.6659,a,9.87,87.0,2025-11-19T14:42:00.698356801Z,X,9.87,9.87,8.3,4.0,8.3,2025-11-19T14:42:00Z,100.0,9.6659,10.6,10.6,10.6,2.0,10.6,2025-11-18T05:00:00Z,2.0,10.6,0.5498,0.6329,0.0162,0.178,-0.0119,0.1597
BTC251121C00045000,0.03,10,U,0.0,0,?,A,2025-11-19T16:52:23.803375165Z,2025-11-21,45000,0.03,0.03,0.03,1.0,0.03,2025-11-19T05:00:00Z,1.0,0.03,g,0.03,1.0,2025-11-19T17:32:55.00669187Z,C,0.03,0.03,0.03,1.0,0.03,2025-11-19T17:32:00Z,1.0,0.03,0.05,0.07,0.05,3.0,0.07,2025-11-18T05:00:00Z,17.0,0.064706,,,,,,
BTC260116P00066000,27.51,20,B,24.51,20,B, ,2025-11-19T19:01:56.185885644Z,2026-01-16,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618P00047000,11.01,139,B,9.22,381,C,A,2025-11-19T19:02:05.740434578Z,2026-06-18,47000,8.98,8.98,8.98,1.0,8.98,2025-11-14T05:00:00Z,5.0,8.98,g,8.98,5.0,2025-11-14T19:06:10.698141855Z,C,8.98,8.98,8.98,1.0,8.98,2025-11-14T19:06:00Z,5.0,8.98,,,,,,,,,0.4899,-0.5898,0.0265,-0.1929,-0.0101,0.1166
BTC260320C00035000,9.01,672,X,7.35,23,U, ,2025-11-19T19:02:05.740725215Z,2026-03-20,35000,13.9,13.9,13.9,2.0,13.9,2025-11-03T05:00:00Z,2.0,13.9,I,13.9,1.0,2025-11-03T16:11:57.138658486Z,W,13.9,13.9,13.9,2.0,13.9,2025-11-03T16:11:00Z,2.0,13.9,14.65,14.65,14.65,1.0,14.65,2025-10-30T04:00:00Z,1.0,14.65,0.6389,0.7065,0.0237,0.0653,-0.0227,0.0782
BTC251219P00025000,0.77,286,A,0.0,0,?, ,2025-11-19T19:00:27.012784188Z,2025-12-19,25000,0.05,0.05,0.05,1.0,0.05,2025-11-17T05:00:00Z,1.0,0.05,a,0.05,1.0,2025-11-17T20:30:17.394379037Z,X,0.05,0.05,0.05,1.0,0.05,2025-11-17T20:30:00Z,1.0,0.05,0.49,0.49,0.49,1.0,0.49,2025-06-10T04:00:00Z,10.0,0.49,,,,,,
BTC280121P00050000,19.57,13,S,15.23,18,E,A,2025-11-19T19:03:11.97781953Z,2028-01-21,50000,16.68,16.68,16.68,1.0,16.68,2025-11-19T05:00:00Z,10.0,16.68,f,16.68,10.0,2025-11-19T14:30:35.85372211Z,A,16.68,16.68,16.68,1.0,16.68,2025-11-19T14:30:00Z,10.0,16.68,14.4,14.8,14.4,2.0,14.8,2025-11-07T05:00:00Z,20.0,14.6,0.5518,-0.4197,0.0122,-0.7377,-0.0048,0.2272
BTC260116C00066000,0.77,311,A,0.0,0,?,A,2025-11-19T19:00:41.42714474Z,2026-01-16,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320P00053000,14.81,72,C,12.43,49,E,A,2025-11-19T19:03:46.149879231Z,2026-03-20,53000,12.23,12.23,12.23,1.0,12.23,2025-11-17T05:00:00Z,1.0,12.23,a,12.25,1.0,2025-11-17T14:56:09.52129998Z,J,12.23,12.23,12.23,1.0,12.23,2025-11-17T14:56:00Z,1.0,12.23,,,,,,,,,0.4342,-0.8429,0.0244,-0.1554,-0.0049,0.0546
BTC280121P00056000,23.69,15,E,19.52,13,U,A,2025-11-19T19:03:49.2323481Z,2028-01-21,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5519,-0.4747,0.0124,-0.8761,-0.0044,0.2315
BTC251219P00034000,0.82,20,E,0.38,23,U,A,2025-11-19T19:03:35.220301723Z,2025-12-19,34000,0.48,0.48,0.48,1.0,0.48,2025-11-19T05:00:00Z,1.0,0.48,I,0.48,1.0,2025-11-19T14:36:55.11564247Z,Z,0.48,0.48,0.48,1.0,0.48,2025-11-19T14:36:00Z,1.0,0.48,0.37,0.37,0.37,1.0,0.37,2025-11-17T05:00:00Z,2.0,0.37,0.5815,-0.1603,0.0371,-0.0057,-0.026,0.0275
BTC251121P00045000,5.78,27,U,4.72,89,A,A,2025-11-19T19:03:37.247415245Z,2025-11-21,45000,5.7,5.7,4.65,6.0,4.67,2025-11-19T05:00:00Z,6.0,5.171667,I,5.7,1.0,2025-11-19T18:34:04.027469799Z,N,5.7,5.7,5.7,1.0,5.7,2025-11-19T18:34:00Z,1.0,5.7,3.9,4.31,3.6,9.0,4.31,2025-11-18T05:00:00Z,16.0,4.045625,,,,,,
BTC260618C00041000,7.37,621,X,5.82,16,E,A,2025-11-19T19:02:42.931542828Z,2026-06-18,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5792,0.5718,0.0226,0.0922,-0.0178,0.1177
